Date;I(A);U(V);(Q)mAh;Headspeed(rpm);PWM(%);Temp(C)
06.05.2020 18:15:21;0.5;49.4;21.0;0;0;36
06.05.2020 18:15:22;0.3;49.3;21.0;11;2;36
06.05.2020 18:15:22;0.8;49.3;21.0;42;2;36
06.05.2020 18:15:23;1.0;49.3;21.0;59;3;36
06.05.2020 18:15:23;1.3;49.3;22.0;89;4;36
06.05.2020 18:15:24;1.9;49.3;22.0;121;5;36
06.05.2020 18:15:24;2.9;49.3;22.0;199;7;36
06.05.2020 18:15:25;5.8;49.1;23.0;277;14;36
06.05.2020 18:15:25;7.0;49.1;23.0;373;17;36
06.05.2020 18:15:26;12.6;48.9;24.0;552;26;36
06.05.2020 18:15:26;20.8;48.5;28.0;839;36;36
06.05.2020 18:15:27;22.4;48.4;29.0;901;40;36
06.05.2020 18:15:27;21.3;48.4;33.0;1074;46;36
06.05.2020 18:15:28;18.4;48.4;37.0;1197;50;38
06.05.2020 18:15:28;21.1;48.4;39.0;1303;51;38
06.05.2020 18:15:29;22.7;48.2;43.0;1388;56;38
06.05.2020 18:15:29;25.4;48.2;47.0;1455;58;38
06.05.2020 18:15:30;28.9;48.0;48.0;1481;62;38
06.05.2020 18:15:30;28.9;48.0;55.0;1573;62;38
06.05.2020 18:15:31;28.7;48.0;56.0;1583;65;38
06.05.2020 18:15:31;24.3;48.1;61.0;1598;64;38
06.05.2020 18:15:32;23.9;48.1;65.0;1600;64;38
06.05.2020 18:15:32;28.2;48.0;67.0;1607;66;38
06.05.2020 18:15:33;32.2;47.8;70.0;1640;69;38
06.05.2020 18:15:33;35.6;47.6;78.0;1730;73;38
06.05.2020 18:15:34;34.9;47.6;80.0;1756;74;38
06.05.2020 18:15:34;30.0;47.7;85.0;1790;74;38
06.05.2020 18:15:35;29.4;47.7;89.0;1794;74;38
06.05.2020 18:15:35;30.0;47.7;94.0;1791;74;38
06.05.2020 18:15:36;29.2;47.6;97.0;1790;74;38
06.05.2020 18:15:36;40.8;47.2;102.0;1794;77;40
06.05.2020 18:15:37;78.1;45.9;108.0;1759;82;40
06.05.2020 18:15:37;56.1;46.4;120.0;1795;80;40
06.05.2020 18:15:38;55.6;46.4;126.0;1800;80;40
