Date;I(A);U(V);(Q)mAh;Headspeed(rpm);PWM(%);Temp(C)
30.04.2020 14:44:36;0.1;49.9;0.0;45;2;40
30.04.2020 14:44:36;0.1;49.9;0.0;57;2;40
30.04.2020 14:44:36;0.1;49.9;0.0;57;2;40
30.04.2020 14:44:36;0.1;49.9;0.0;64;3;40
30.04.2020 14:44:37;0.2;49.9;0.0;83;3;40
30.04.2020 14:44:37;0.7;49.9;0.0;111;4;40
30.04.2020 14:44:38;1.8;49.8;0.0;181;7;40
30.04.2020 14:44:38;3.9;49.8;0.0;251;13;40
30.04.2020 14:44:39;5.1;49.8;1.0;461;15;40
30.04.2020 14:44:39;9.0;49.6;2.0;523;24;40
30.04.2020 14:44:40;13.7;49.5;4.0;757;30;40
30.04.2020 14:44:40;17.8;49.3;6.0;987;39;40
30.04.2020 14:44:41;20.2;49.2;8.0;1091;45;40
30.04.2020 14:44:41;23.6;49.1;11.0;1157;48;40
30.04.2020 14:44:42;22.9;49.1;15.0;1276;50;40
30.04.2020 14:44:42;25.7;48.9;19.0;1380;55;40
30.04.2020 14:44:43;25.5;48.9;22.0;1451;59;40
30.04.2020 14:44:43;26.6;48.8;26.0;1531;61;40
30.04.2020 14:44:44;32.9;48.4;28.0;1562;64;40
30.04.2020 14:44:44;34.3;48.2;33.0;1652;68;42
30.04.2020 14:44:45;32.5;48.2;39.0;1762;72;42
30.04.2020 14:44:45;31.6;48.2;41.0;1799;73;42
30.04.2020 14:44:46;42.1;47.8;50.0;1909;78;42
30.04.2020 14:44:46;37.5;47.8;56.0;1962;82;42
30.04.2020 14:44:47;50.6;47.4;63.0;2035;82;42
30.04.2020 14:44:47;74.5;46.5;66.0;2059;88;42
30.04.2020 14:44:48;26.5;48.1;76.0;2027;80;42
30.04.2020 14:44:48;32.8;47.8;80.0;2023;82;42
30.04.2020 14:44:49;42.9;47.6;85.0;2053;84;42
30.04.2020 14:44:49;39.6;47.6;89.0;2052;84;42
30.04.2020 14:44:50;43.4;47.5;97.0;2048;85;42
30.04.2020 14:44:50;45.6;47.3;100.0;2051;85;42
30.04.2020 14:44:51;44.8;47.3;107.0;2054;85;42
30.04.2020 14:44:51;46.9;47.2;115.0;2047;86;42
30.04.2020 14:44:52;52.2;47.1;120.0;2043;86;42
30.04.2020 14:44:52;36.7;47.6;125.0;2040;83;42
30.04.2020 14:44:53;54.9;47.0;131.0;2052;87;42
30.04.2020 14:44:53;52.1;47.0;137.0;2052;87;42
30.04.2020 14:44:54;60.9;46.7;143.0;2047;88;42
30.04.2020 14:44:54;47.5;47.1;152.0;2048;86;42
30.04.2020 14:44:55;41.9;47.3;159.0;2048;85;44
30.04.2020 14:44:55;38.7;47.4;161.0;2042;84;44
30.04.2020 14:44:56;44.8;47.2;170.0;2056;86;44
30.04.2020 14:44:56;63.6;46.6;173.0;2050;88;44
30.04.2020 14:44:57;52.2;46.8;185.0;2055;87;44
30.04.2020 14:44:57;52.4;46.9;191.0;2055;87;44
30.04.2020 14:44:58;72.6;46.2;201.0;2041;90;44
30.04.2020 14:44:58;75.5;46.2;209.0;2038;89;44
30.04.2020 14:44:59;49.7;46.8;218.0;2052;87;44
30.04.2020 14:44:59;50.7;46.8;223.0;2057;87;44
30.04.2020 14:45:00;49.7;46.8;232.0;2046;87;44
30.04.2020 14:45:00;45.4;46.9;237.0;2055;87;44
30.04.2020 14:45:01;36.0;47.3;245.0;2063;85;44
30.04.2020 14:45:01;41.5;47.0;248.0;2071;86;44
30.04.2020 14:45:02;57.1;46.6;253.0;2060;88;44
30.04.2020 14:45:02;29.0;47.4;261.0;2058;83;44
30.04.2020 14:45:03;29.4;47.4;266.0;2052;84;44
30.04.2020 14:45:03;26.6;47.6;271.0;2058;83;44
30.04.2020 14:45:04;27.8;47.5;272.0;2059;83;44
30.04.2020 14:45:04;24.3;47.6;277.0;2056;82;44
30.04.2020 14:45:05;24.2;47.6;281.0;2052;82;44
30.04.2020 14:45:05;24.6;47.6;284.0;2053;82;44
30.04.2020 14:45:06;25.8;47.6;287.0;2045;82;44
30.04.2020 14:45:06;22.4;47.7;290.0;2046;80;44
30.04.2020 14:45:07;26.9;47.6;294.0;2050;82;44
30.04.2020 14:45:07;29.6;47.5;299.0;2034;83;44
30.04.2020 14:45:08;25.2;47.6;304.0;2058;82;44
30.04.2020 14:45:08;31.2;47.4;305.0;2064;84;44
30.04.2020 14:45:09;30.2;47.4;310.0;2055;84;44
30.04.2020 14:45:09;32.8;47.3;316.0;2060;84;44
30.04.2020 14:45:10;36.2;47.2;321.0;2062;85;44
30.04.2020 14:45:10;34.5;47.3;327.0;2065;85;44
30.04.2020 14:45:11;30.8;47.4;329.0;2057;84;44
30.04.2020 14:45:11;33.5;47.3;334.0;2056;84;44
30.04.2020 14:45:12;36.0;47.1;340.0;2053;85;44
30.04.2020 14:45:12;38.4;47.1;342.0;2064;85;44
30.04.2020 14:45:13;43.4;47.0;351.0;2053;86;44
30.04.2020 14:45:13;33.9;47.2;355.0;2048;85;44
30.04.2020 14:45:14;41.0;47.0;359.0;2056;86;44
30.04.2020 14:45:14;40.0;47.1;366.0;2052;85;44
30.04.2020 14:45:15;24.1;47.5;370.0;2052;82;44
30.04.2020 14:45:15;24.9;47.4;372.0;2045;82;44
30.04.2020 14:45:16;30.8;47.2;377.0;2054;84;44
30.04.2020 14:45:16;36.9;47.1;383.0;2049;85;44
30.04.2020 14:45:17;34.8;47.2;387.0;2063;85;44
30.04.2020 14:45:17;38.5;47.1;393.0;2055;85;44
30.04.2020 14:45:18;35.9;47.1;397.0;2055;85;44
30.04.2020 14:45:18;42.8;46.9;404.0;2054;86;44
30.04.2020 14:45:19;39.8;46.9;408.0;2066;86;44
30.04.2020 14:45:19;48.6;46.6;415.0;2059;87;46
30.04.2020 14:45:20;43.0;46.7;421.0;2068;87;46
30.04.2020 14:45:20;37.5;46.9;425.0;2056;85;46
30.04.2020 14:45:21;39.4;46.8;432.0;2049;86;46
30.04.2020 14:45:21;39.0;46.8;438.0;2051;86;46
30.04.2020 14:45:22;40.4;46.8;443.0;2055;86;46
30.04.2020 14:45:22;35.0;46.9;447.0;2047;85;46
30.04.2020 14:45:23;35.1;46.9;453.0;2059;85;46
30.04.2020 14:45:23;39.4;46.8;459.0;2050;86;46
30.04.2020 14:45:24;36.2;46.9;461.0;2049;85;46
30.04.2020 14:45:24;39.5;46.8;468.0;2052;86;46
30.04.2020 14:45:25;49.4;46.4;475.0;2062;88;46
30.04.2020 14:45:25;50.5;46.4;483.0;2054;88;46
30.04.2020 14:45:26;43.5;46.6;488.0;2055;86;46
30.04.2020 14:45:26;45.1;46.5;496.0;2052;87;46
30.04.2020 14:45:27;40.0;46.6;503.0;2050;86;46
30.04.2020 14:45:27;42.4;46.6;505.0;2056;87;46
30.04.2020 14:45:28;48.4;46.3;513.0;2053;88;46
30.04.2020 14:45:28;52.2;46.2;522.0;2040;88;46
30.04.2020 14:45:29;49.9;46.3;528.0;2047;88;46
30.04.2020 14:45:29;51.4;46.2;536.0;2063;88;46
30.04.2020 14:45:30;48.3;46.3;542.0;2056;88;46
30.04.2020 14:45:30;35.2;46.7;547.0;2057;86;46
30.04.2020 14:45:31;35.5;46.6;553.0;2056;86;46
30.04.2020 14:45:31;44.1;46.5;560.0;2060;87;46
30.04.2020 14:45:32;48.3;46.3;566.0;2050;88;46
30.04.2020 14:45:32;42.9;46.4;571.0;2052;87;46
30.04.2020 14:45:33;42.7;46.4;579.0;2061;87;46
30.04.2020 14:45:33;52.2;46.0;584.0;2052;88;46
30.04.2020 14:45:34;49.0;45.9;596.0;2049;88;46
30.04.2020 14:45:34;46.2;45.9;598.0;2050;87;46
30.04.2020 14:45:35;46.6;45.9;606.0;2052;88;46
30.04.2020 14:45:35;35.6;46.2;611.0;2058;86;46
30.04.2020 14:45:36;47.8;45.8;618.0;2055;88;46
30.04.2020 14:45:36;81.0;44.7;626.0;2063;94;46
30.04.2020 14:45:37;103.3;44.2;634.0;2064;95;46
30.04.2020 14:45:37;58.8;45.4;651.0;2068;90;46
30.04.2020 14:45:38;77.5;44.7;666.0;2063;93;48
30.04.2020 14:45:38;72.1;44.9;669.0;2064;92;48
30.04.2020 14:45:39;53.8;45.3;678.0;2048;89;48
30.04.2020 14:45:39;32.4;45.9;681.0;2041;85;48
30.04.2020 14:45:40;52.5;45.4;689.0;2042;89;48
30.04.2020 14:45:40;37.9;45.9;694.0;2046;86;48
30.04.2020 14:45:41;62.9;45.1;698.0;2045;90;48
30.04.2020 14:45:41;83.2;44.5;712.0;2047;94;48
30.04.2020 14:45:42;82.2;44.5;721.0;2060;94;48
30.04.2020 14:45:42;37.4;45.7;731.0;2045;87;48
30.04.2020 14:45:43;36.8;45.8;735.0;2048;86;48
30.04.2020 14:45:43;31.8;45.9;739.0;2042;86;48
30.04.2020 14:45:44;36.9;45.7;746.0;2041;87;48
30.04.2020 14:45:44;36.4;45.8;750.0;2036;86;48
30.04.2020 14:45:45;62.1;45.1;758.0;2055;91;48
30.04.2020 14:45:45;55.5;45.2;770.0;2052;91;48
30.04.2020 14:45:46;57.0;45.1;779.0;2034;91;48
30.04.2020 14:45:46;58.2;45.2;782.0;2034;89;48
30.04.2020 14:45:47;84.8;44.2;804.0;2058;94;48
30.04.2020 14:45:47;50.9;45.1;808.0;2050;89;48
30.04.2020 14:45:48;27.5;45.9;814.0;2031;84;48
30.04.2020 14:45:48;19.4;46.2;817.0;2039;82;48
30.04.2020 14:45:49;37.1;45.8;823.0;2051;85;48
30.04.2020 14:45:49;22.8;46.1;825.0;2009;84;48
30.04.2020 14:45:50;34.9;45.8;831.0;2040;86;48
30.04.2020 14:45:50;45.5;45.5;836.0;2060;89;48
30.04.2020 14:45:51;51.2;45.3;844.0;2075;90;48
30.04.2020 14:45:51;131.8;42.8;858.0;2077;99;48
30.04.2020 14:45:52;180.9;41.3;877.0;1856;99;48
30.04.2020 14:45:52;41.7;45.2;894.0;2028;87;50
30.04.2020 14:45:53;25.4;45.8;900.0;2034;84;50
30.04.2020 14:45:53;26.3;45.8;903.0;2031;85;50
30.04.2020 14:45:54;32.0;45.7;908.0;2051;86;50
30.04.2020 14:45:54;123.3;43.0;918.0;2048;98;50
30.04.2020 14:45:55;128.0;42.9;931.0;2071;99;50
30.04.2020 14:45:55;33.0;45.5;936.0;2056;87;50
30.04.2020 14:45:56;28.7;45.7;943.0;2042;86;50
30.04.2020 14:45:56;38.1;45.4;944.0;2066;88;50
